Feature,Importance
original_firstorder_10Percentile_RV_ES,0.002971744275565839
original_shape_Maximum2DDiameterRow_LV_ED,0.0029366121289311252
original_glcm_Imc2_LV_ES,0.0029085120625183102
original_shape_Flatness_RV_ES,0.002885139731918165
original_glrlm_GrayLevelNonUniformity_MYO_ED,0.002883662131745154
original_glrlm_RunLengthNonUniformityNormalized_MYO_ED,0.0028632226414915586
original_firstorder_Energy_RV_ES,0.0028342369270024786
original_glszm_GrayLevelNonUniformity_RV_ES,0.0028087338147868355
original_gldm_DependenceNonUniformity_LV_ES,0.002803796974727433
original_ngtdm_Coarseness_MYO_ED,0.0027330793320687625
original_shape_Maximum3DDiameter_MYO_ED,0.002685707949497012
original_firstorder_Maximum_MYO_ES,0.0026600797408208783
original_glrlm_RunEntropy_MYO_ED,0.002648308179106797
original_glcm_DifferenceAverage_MYO_ES,0.0026427730950806427
original_shape_Maximum2DDiameterRow_RV_ED,0.0026395971110285397
original_glszm_LargeAreaHighGrayLevelEmphasis_LV_ED,0.0025820659599537677
original_glszm_ZoneVariance_LV_ES,0.00256301192510625
original_glszm_SizeZoneNonUniformity_LV_ES,0.002542080410522811
original_shape_MinorAxisLength_MYO_ED,0.0025152691932335725
original_ngtdm_Busyness_RV_ES,0.002502766100936237
original_shape_Maximum3DDiameter_RV_ED,0.002496500100083891
original_glszm_SmallAreaEmphasis_LV_ES,0.002478069258048528
original_glszm_ZoneVariance_MYO_ES,0.0024651537055930977
original_gldm_LargeDependenceHighGrayLevelEmphasis_MYO_ED,0.002402769217793296
original_gldm_SmallDependenceLowGrayLevelEmphasis_MYO_ES,0.0023995276939940743
original_glrlm_RunLengthNonUniformity_MYO_ES,0.002390706284330558
original_gldm_DependenceVariance_RV_ES,0.002375357522997468
original_glrlm_RunPercentage_MYO_ES,0.002358101135190919
original_shape_LeastAxisLength_RV_ED,0.002353739732820717
original_glrlm_RunPercentage_MYO_ED,0.002353691962573168
original_shape_MinorAxisLength_LV_ED,0.0023452114067645333
original_shape_Maximum2DDiameterColumn_MYO_ED,0.002313960262839061
original_gldm_DependenceNonUniformityNormalized_LV_ES,0.0022529476105168974
weight,0.0022141973842707894
original_shape_Maximum3DDiameter_LV_ES,0.0021986449390130314
original_glrlm_LowGrayLevelRunEmphasis_LV_ES,0.0021965852565615967
original_glrlm_RunVariance_MYO_ED,0.0021733418310832054
original_glrlm_RunEntropy_LV_ES,0.0021427744515548795
original_shape_Flatness_MYO_ED,0.00213622138993563
original_glszm_SmallAreaEmphasis_LV_ED,0.0021176427896429876
original_glrlm_ShortRunEmphasis_LV_ES,0.002105593968798452
original_firstorder_Kurtosis_MYO_ED,0.0020808804861972446
original_shape_Maximum2DDiameterSlice_LV_ED,0.00208005533758749
original_glszm_LargeAreaEmphasis_MYO_ES,0.0020541420652369297
original_shape_Flatness_LV_ES,0.0020452763076129455
original_shape_VoxelVolume_LV_ED,0.002027915331063317
